brandid,brandname,category,overall_weighted_score,google_avg_rating,facebook_engagement_rate,google_perc_locations_in_3pack,google_perc_locations_in_3pack_percentile,google_avg_rating_percentile,facebook_engagement_rate_percentile,metric_average
35,BrightStar Care,Assisted Living,46,4.45,0.0034245680077379555,0.0682,25.32,69.53,34.4,43.083333333333336
3235,TheKey,Assisted Living,45,4.61,1.1014550220841733e-05,0.0,6.53,80.51,0.09,29.043333333333337
3643,National Church Residences,Assisted Living,25,3.9,0.01134824316479142,0.08,26.97,28.69,66.03,40.56333333333333
3516,Right At Home,Assisted Living,42,4.49,0.002213733831061724,0.4124,59.68,72.82,24.29,52.26333333333333
120,Home Instead Senior Care,Assisted Living,54,4.61,0.00198122043178598,0.9627,96.63,80.51,22.73,66.62333333333332
219,Right at Home,Assisted Living,47,4.44,0.0008923894698042563,0.3575,56.01,68.67,10.03,44.903333333333336
306,Oasis Senior Advisors,Assisted Living,35,4.99,0.008241237764445847,0.1304,33.54,99.83,56.87,63.413333333333334
521,ALG Senior,Assisted Living,37,3.47,0.022671146917128862,0.6591,74.63,11.5,78.82,54.98333333333333
520,Senior Lifestyle Corporation,Assisted Living,53,4.34,0.025534305870601213,0.6444,73.64,59.25,79.6,70.83
518,Five Star Senior Living,Assisted Living,49,4.5,0.025593718490549845,0.1667,38.42,73.34,79.69,63.81666666666666
517,Sunrise Senior Living,Assisted Living,46,4.14,0.0005112504679420605,0.7818,81.33,42.09,5.01,42.81
516,Brookdale Senior Living,Assisted Living,49,4.05,0.021444817502436913,0.6098,71.31,36.56,78.05,61.973333333333336
3515,Brightstar Care,Assisted Living,47,4.48,0.004476622084668951,0.33,54.11,72.3,41.92,56.10999999999999
3660,Anthem Memory Care,Assisted Living,58,4.17,0.015493152579886569,0.8421,85.83,44.55,72.0,67.46
522,Life Care Services LLC,Assisted Living,61,4.46,0.01091000750713726,0.2759,49.7,70.4,65.0,61.70000000000001
515,Atria Senior Living,Assisted Living,55,4.39,0.02771197179218776,0.4483,61.5,63.79,81.16,68.81666666666666
3010,National Wildlife Federation,Associations,28,3.97,0.00017992813141683777,0.0,6.53,31.94,1.3,13.256666666666666
3015,AARP,Associations,34,3.68,0.0030970502562323366,0.0133,15.43,18.02,31.11,21.52
3011,ACLU,Associations,29,3.27,0.0015931507406118611,0.0,6.53,6.05,18.58,10.386666666666665
3014,American Heart Association,Associations,31,4.11,0.001206062130162331,0.0,6.53,39.8,14.09,20.14
3018,The American Legion,Associations,39,4.52,0.03,0.0,6.53,74.33,91.01,57.29
3000,Kiwanis International,Associations,25,4.58,0.014487881407485675,0.0481,21.78,78.78,71.05,57.20333333333334
3017,United Way,Associations,38,4.36,0.003519623002724395,0.0954,29.21,61.24,35.26,41.903333333333336
3016,Alzheimer's Association,Associations,36,4.58,0.001216136301570368,0.0163,15.9,78.78,14.26,36.31333333333334
3019,Benevolent and Protective Order of Elks,Associations,38,4.54,0.01733020551558484,0.8646,87.55,75.89,74.33,79.25666666666666
3002,Lions Club,Associations,32,4.32,0.003561290456259583,0.4857,64.17,56.53,35.7,52.13333333333333
3009,Ducks Unlimited,Associations,29,3.76,0.005797063138555889,0.0323,19.14,21.43,49.35,29.973333333333333
3008,JDRF,Associations,33,4.44,0.0018737536959361892,0.0,6.53,68.67,21.87,32.35666666666667
3012,Rotary,Associations,31,4.77,0.011449711415760329,0.0229,17.46,90.41,66.29,58.05333333333334
3007,Make-A-Wish,Associations,37,4.38,0.01726943716661532,0.0619,24.63,62.75,74.24,53.873333333333335
3006,The Leukemia & Lymphoma Society,Associations,35,4.51,0.010142602233758987,0.0167,16.16,73.85,63.53,51.18
3001,Mothers Against Drunk Driving,Associations,29,3.91,0.005492629062553361,0.0833,27.48,29.26,48.06,34.93333333333334
3005,United Steelworkers,Associations,33,4.4,0.016599973615935973,0.813,83.49,65.0,73.12,73.87
3004,National Association of Social Workers,Associations,31,4.42,0.0016548965776738774,0.0,6.53,66.81,19.62,30.986666666666668
3003,Hillel,Associations,31,4.66,0.004798813683827518,0.0,6.53,84.01,44.43,44.99
3013,Best Buddies,Associations,35,3.82,0.002903624902160465,0.1389,34.57,23.77,29.82,29.386666666666667
547,Victory Automotive Group,Automotive - Dealers,69,4.25,0.0005331911490269262,0.0789,26.53,50.91,5.36,27.599999999999998
2004,Ken Garff,Automotive - Dealers,55,4.11,0.0005595183665900393,0.0,6.53,39.8,5.53,17.286666666666665
2003,AutoNation,Automotive - Dealers,59,3.99,0.0009171711107775945,0.0234,17.55,33.36,10.46,20.456666666666667
378,"Superior Auto, Inc",Automotive - Dealers,33,4.17,0.005108230636613243,0.2593,48.23,44.55,45.81,46.196666666666665
2002,Hendrick Automotive Group,Automotive - Dealers,68,4.61,0.004008523844804243,0.0189,16.72,80.51,38.81,45.34666666666667
370,Kia Motors,Automotive - Dealers,66,4.39,0.00796685591529845,0.4124,59.68,63.79,56.01,59.82666666666666
2001,Shottenkirk,Automotive - Dealers,61,4.28,0.007122739596220157,0.0204,17.11,53.33,53.93,41.45666666666667
2000,Carmax,Automotive - Dealers,50,4.24,0.008184741303712365,0.3023,51.94,49.91,56.61,52.81999999999999
3551,Mitsubishi,Automotive - Dealers,49,4.27,0.0028791257259072308,0.4321,61.11,52.42,29.73,47.75333333333333
3552,Manheim,Automotive - Dealers,44,4.04,0.0032269383991908574,0.866,87.73,36.04,33.02,52.26333333333334
41,Byrider,Automotive - Dealers,68,4.41,0.007401678388400182,0.1495,35.78,65.9,54.88,52.18666666666667
3656,DriveTime,Automotive - Dealers,50,4.83,0.0008474127429691224,0.26,48.44,93.39,8.99,50.27333333333333
3694,Chevrolet,Automotive - Dealers,61,4.45,0.0017670043915764722,0.2427,46.41,69.53,20.48,45.47333333333333
3566,EagleRider,Automotive - Dealers,37,4.15,0.013048552754435108,0.12,31.81,43.22,68.97,48.0
