brandid,brandname,overall_weighted_score,google_avg_local_rank,facebook_engagement_rate,google_avg_rating
3347,Lapels Cleaners,47,5.4,0.0032,4.58
3433,Value Pawn & Jewelry,46,2.99,0.0141,4.68
3467,Planet Home Lending,27,6.86,0.008,4.18
3468,Ewing Outdoor Supply,37,1.75,0.0025,4.64
3544,Teaspoon,51,8.47,0.0305,4.66
3576,Southwood Realty,31,14.22,0.0084,3.98
3645,Crye-Leike,33,16.26,0.0158,4.14
3157,Papé,51,6.59,0.0039,4.36
3280,UL Coleman Properties,35,17.62,0.0064,3.97
3281,Avise Properties,26,15.17,0.0552,3.68
3282,Wirtz Realty Corporation,23,24.06,0.0011,4.26
3283,Krispy Krunchy Chicken,32,3.68,0.0052,3.99
3315,Fidelity National Financial,32,9.55,0.0275,4.12
3348,Lash Lounge,76,1.86,0.001,4.76
3397,Fareway Grocery,57,1.5,0.0056,4.63
3469,Pet Butler,48,23.46,0.0014,4.48
3470,Velo Residential,33,19.27,0.0054,3.63
3511,School of Rock,63,2.0,0.0056,4.82
3646,DXP Enterprises,27,15.7,0.0101,4.26
3284,Carquest - All Time,49,3.75,0.0126,4.54
3316,Fifth Third Bank ,31,18.94,2.1044,3.16
3349,Rocket Mortgage,45,18.0,0.0006,3.76
3436,Keller Williams,36,21.28,0.0087,4.83
3647,Re-Bath,53,5.77,0.0013,4.51
3285,NextCare Urgent Care,67,1.67,0.0002,4.5
3317,Lincoln Financial Group,23,7.67,0.0326,2.55
3439,Greco’s Pizza,36,2.61,0.0031,3.74
3474,GOLDMARK Property Management,25,22.34,0.0104,3.09
3548,GardaWorld,33,13.81,0.0088,3.07
3579,Gold Financial Services,38,17.4,0.0045,4.39
3580,El Pollo Loco,56,18.89,0.0105,3.96
3615,Epcon Community,27,21.03,0.034,4.34
3648,Doherty Auto Group,63,25.0,0.0047,4.33
3286,Salon Lofts,41,12.5,0.1383,4.7
3318,Modern Woodmen of America,29,19.63,0.001,4.31
3400,Dryer Vent Squad,44,23.7,0.0523,4.96
3401,The Corcoran Group,31,24.84,0.0098,4.92
3402,Century 21,37,21.93,0.0124,4.78
3440,Weston Associates Management Company,24,17.15,0.0269,3.68
3476,LaRosa’s,65,4.08,1.7055,4.21
3550,Earls Kitchen + Bar,65,7.91,0.0088,4.19
3616,Sarku Japan,31,8.97,0.0271,3.84
3650,Priderock Capital Partners,37,18.46,0.0001,3.21
3581,Abbey Carpet & Floor,46,4.41,0.017,4.59
3287,Central Bark,69,2.94,0.0075,4.71
3319,Morgan Stanley,22,24.47,0.0034,5.0
3403,Infinity Insurance,25,24.61,0.0291,2.72
3404,Progressive Insurance,33,22.3,0.0083,3.24
3441,Eagle Property Capital,34,12.53,0.0021,3.48
3442,Prime Group,39,16.16,0.0007,3.73
3477,Surface Experts,25,25.0,0.0085,4.63
3478,California Commercial Investment Group,24,15.55,0.0244,3.72
3551,Mitsubishi,49,8.73,0.0029,4.27
3617,Cobblestone Hotels,57,2.4,0.0102,4.36
3651,Three Dog Bakery,49,13.16,0.0052,4.84
3652,Keller Investment Properties,40,14.0,0.0015,3.58
3653,Nelson Partners,33,24.44,0.0013,3.23
3320,Movement Mortgage,31,19.12,0.0074,4.84
3357,beem Light Sauna,38,17.21,0.0027,4.74
3358,Vital Care,36,15.65,0.029,4.68
3359,Buff City Soap,51,1.24,0.0007,4.64
3405,Speedycash,34,25.0,0.0004,4.56
3586,Juice It Up!,55,2.2,0.0009,4.29
3587,Firebirds Wood Fired Grill,65,2.86,0.0093,4.34
3677,Terra Holdings,33,24.66,0.0174,4.11
3289,Rite Aid,43,2.72,0.0009,3.54
3321,Mutual of Omaha Insurance Co,23,21.98,0.0016,4.76
3360,Michigan Urgent Care,64,1.43,0.0003,4.47
3361,Access Medical Centers,61,2.95,0.0008,4.6
3362,Carlton Equities,26,15.6,0.0011,3.06
3363,Preferred Residential Management,55,10.96,0.0135,4.31
3444,New York Life Insurance,25,19.32,0.0215,4.33
3481,National Heritage Academies,44,1.84,0.0024,3.13
3517,Grunt Style,45,18.94,0.0029,4.92
3518,Café Zupas,51,13.64,0.3172,4.34
3519,Troon,64,6.1,0.0016,4.42
3520,Broadmoor ,42,18.44,0.0128,4.61
3678,Dominium,23,13.94,0.0159,3.62
3322,New York Life,26,21.45,0.0111,4.97
3408,Farris Properties,16,18.88,0.0568,3.19
3409,Preservation Management,19,15.76,0.0436,3.38
3482,Northstar Properties,24,13.17,0.0126,3.08
3483,Weidner Apartment Homes,44,10.47,0.0002,4.11
3657,Premier Rental,38,16.52,0.0041,4.4
3679,NRP Group,26,13.91,0.003,3.84
3410,Elme Communities,39,16.96,0.0045,3.76
3485,Zumiez,30,23.22,0.169,4.23
3523,Athletico Physical Therapy,52,3.34,0.0107,4.94
3555,PEG Property Management,37,18.14,0.0181,4.13
3621,City Wide Facility Solutions,42,15.2,0.0111,4.44
3556,11 Residential,33,14.18,0.0015,3.69
3680,S.L. Nusbaum Realty Co,29,14.88,0.0066,3.84
3292,NEXA Mortgage,29,17.05,0.0046,4.85
3366,Tribridge Residential,40,18.88,0.0039,4.11
3367,Tarragon Property Services,23,15.95,0.0149,3.62
3369,TRIO Properties,38,14.5,0.0047,4.22
3370,Travis Hyde Properties,27,22.44,0.1602,3.22
3371,PLK Communities,40,13.65,0.01,3.99
3372,Panther Residential Management,46,11.23,0.0078,4.01
3374,Essex Property Trust,37,16.65,0.0244,3.46
3412,JCPenney Salon,27,21.12,0.019,3.83
3557,Costello Property Management,25,14.38,0.0464,3.56
3558,RedPeak Properties,31,21.96,0.0141,3.73
3622,Nova Property Network,27,10.67,0.0026,3.84
3623,Los Altos Ranch Market,51,4.25,0.0018,4.18
3659,The Edge Fitness Clubs,69,4.6,0.0031,4.15
3293,Advanced Dermatology and Cosmetic Surgery,49,3.43,0.0062,4.48
3375,Affinity Property Management,20,20.47,0.0021,3.3
3449,GLD Management Company,26,9.89,0.3085,3.43
3487,Ad-West Realty Services,19,11.71,0.0118,3.44
3525,CMIT Solutions,33,13.02,0.0043,4.91
3659,The Edge Fitness Clubs,69,4.6,0.0031,4.15
3450,Cigna,23,22.02,4.21,2.24
3561,Avan Property Management,24,15.5,0.0042,3.46
3593,RBM Partners,32,11.8,0.0063,3.64
3627,Fourmidable Real Estate Management,29,25.0,0.0052,3.66
3660,Anthem Memory Care,58,2.0,0.0155,4.17
3659,The Edge Fitness Clubs,69,4.6,0.0031,4.15
3295,Carquest - 2024 Renewal,53,5.38,0.0061,4.56
3327,RBC Wealth Management,26,20.7,0.0503,5.0
3451,Stifel,29,2.45,0.0031,4.47
3489,Woodcraft,56,1.01,0.0084,4.59
3527,Wild Birds Unlimited,55,7.37,0.0371,4.77
3563,American Council of Life Insurers,35,21.8,0.0038,2.95
3595,Gallagher,23,22.38,0.3625,3.61
3037,Kaiser Permanente,43,25.0,0.14,3.95
3328,Spavia Day Spa,63,2.1,0.0008,4.68
3452,Mission Veterinary Partners,70,2.38,0.0096,4.58
3490,"Samuel, Son & Co.",35,4.96,0.0439,4.02
3528,Republic Parking,36,17.84,0.0126,2.94
3630,Barrington Residential,28,8.74,0.0011,3.56
3631,PROSHRED,50,4.75,0.0009,4.64
3050,Assisting Hands,42,10.11,0.0012,4.72
3298,Graybar,32,2.17,0.0344,4.28
3565,Signal Security,27,15.57,0.0052,3.69
3599,STK,83,4.62,0.0018,4.45
3600,Arlington Properties,38,14.19,0.042,3.87
3632,Tailored Closet,47,21.02,0.0088,4.9
3299,Vanguard,20,25.0,0.7159,3.18
3380,Combined Insurance,26,21.57,0.0007,3.14
3381,Costa Vida,61,14.1,0.0086,4.16
3420,Fitness 19,66,3.38,0.0013,4.28
3454,Cornerstone Home Lending,32,10.13,0.0055,4.68
3601,J.P. Morgan,21,23.68,0.5652,3.29
3088,Accent Meubles,53,1.06,0.0015,4.38
3332,Western & Southern Life,27,20.5,0.0034,4.03
3383,Winn Residential,33,12.04,0.0017,3.71
3421,Jazzercise,47,13.79,0.01,4.86
3455,Greenbrier Management Company,17,25.0,0.0079,3.27
3495,Nordstrom Rack,64,5.83,0.5646,4.15
3531,Just Between Friends,47,17.13,0.0051,4.52
3602,Brake Masters,37,19.82,0.0083,4.31
3382,4Ever Young Anti Aging,52,25.0,0.0021,4.94
3261,Advanced Dental Implant Center,37,25.0,0.0928,4.6
3302,BDC,24,24.4,0.0014,2.77
3333,Knightvest Management,38,17.82,0.005,3.79
3384,UIP Property Management,16,15.46,0.0142,3.25
3456,La Familia Insurance,45,14.14,6.86,4.78
3532,Penn Station East Coast Subs,44,2.97,0.0057,4.15
3568,Red Dot Storage,35,6.42,0.0176,3.61
3603,Brandt Tractor Ltd.,38,2.2,1.1459,4.23
3636,National Property Inspections,33,20.22,0.0065,4.82
3661,Freedom Development Group,24,20.56,0.0064,3.34
3334,Transamerica,28,15.74,0.0187,3.49
3387,United Water Restoration Group,50,5.36,0.0054,4.77
3388,Fairway Independent Mortgage Company,35,17.4,0.0072,4.78
3457,A-Plan Insurance,42,1.06,0.1004,4.31
3533,Sequoia Equities,49,12.23,0.0031,4.11
3569,Spring Green,40,15.07,0.0033,4.07
3604,Pillar to Post Home Inspectors,40,17.15,0.0087,4.95
3637,Lime Painting,35,21.31,0.0097,4.81
3659,The Edge Fitness Clubs,58,4.6,0.0031,4.15
3304,UNITS Moving and Portable Storage,45,1.41,0.0102,4.92
3424,K9 Resorts Luxury Pet Hotel,65,4.52,0.0083,4.77
3425,VCA,70,4.64,0.0026,4.34
3458,CVS,43,2.46,16.2036,2.92
3499,American Car Collectors Insurance,60,25.0,0.0004,4.9
3534,Green Valley Grocery,21,12.96,0.0014,3.65
3570,Black Rock Coffee Bar,55,7.85,0.0196,4.46
3605,Mike Holmes Inspections,28,23.43,0.0284,4.92
3305,Summit Property Management,32,13.65,0.001,3.32
3306,American Family Insurance,45,13.01,0.0066,4.64
3336,Prudential,16,24.78,0.0,3.86
3459,The Sunshine House,43,5.89,0.3878,4.33
3501,EZPAWN,45,2.22,0.0012,4.47
3571,KinderCare,54,10.72,0.0171,4.38
3662,Epic Asset Management,33,16.72,0.0037,3.56
3664,Thrive Communities,34,13.07,0.0013,3.86
3663,Aegis Living,45,25.0,0.0304,4.43
3307,American National Insurance,29,18.92,0.1164,4.43
3337,MassMutual,26,24.32,0.0299,4.49
3427,Indio Management,24,17.6,0.0092,3.14
3502,Advanced Dermatology,28,19.0,0.003,4.46
